z_mm,z_over_L,W_g,T_C,T_K,X_MeOH,y_CH3OH,y_DME,y_H2O,F_CH3OH_mol_h,F_DME_mol_h,F_H2O_mol_h
45.2500,0.301667,7.09648,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
45.5000,0.303333,7.13569,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
45.7500,0.305000,7.17489,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
46.0000,0.306667,7.21410,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
46.2500,0.308333,7.25331,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
46.5000,0.310000,7.29252,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
46.7500,0.311667,7.33172,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
47.0000,0.313333,7.37093,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
47.2500,0.315000,7.41014,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
47.5000,0.316667,7.44934,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
47.7500,0.318333,7.48855,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
48.0000,0.320000,7.52776,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
48.2500,0.321667,7.56697,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
48.5000,0.323333,7.60617,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
48.7500,0.325000,7.64538,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
49.0000,0.326667,7.68459,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
49.2500,0.328333,7.72379,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
49.5000,0.330000,7.76300,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
49.7500,0.331667,7.80221,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
50.0000,0.333333,7.84142,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
50.2500,0.335000,7.88062,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
50.5000,0.336667,7.91983,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
50.7500,0.338333,7.95904,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
51.0000,0.340000,7.99824,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
51.2500,0.341667,8.03745,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
51.5000,0.343333,8.07666,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
51.7500,0.345000,8.11586,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
52.0000,0.346667,8.15507,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
52.2500,0.348333,8.19428,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
52.5000,0.350000,8.23349,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
52.7500,0.351667,8.27269,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
53.0000,0.353333,8.31190,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
53.2500,0.355000,8.35111,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
53.5000,0.356667,8.39031,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
53.7500,0.358333,8.42952,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
54.0000,0.360000,8.46873,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
54.2500,0.361667,8.50794,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
54.5000,0.363333,8.54714,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
54.7500,0.365000,8.58635,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
55.0000,0.366667,8.62556,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
55.2500,0.368333,8.66476,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
55.5000,0.370000,8.70397,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
55.7500,0.371667,8.74318,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
56.0000,0.373333,8.78239,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
56.2500,0.375000,8.82159,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
56.5000,0.376667,8.86080,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
56.7500,0.378333,8.90001,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
57.0000,0.380000,8.93921,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
57.2500,0.381667,8.97842,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
57.5000,0.383333,9.01763,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
57.7500,0.385000,9.05683,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
58.0000,0.386667,9.09604,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
58.2500,0.388333,9.13525,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
58.5000,0.390000,9.17446,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
58.7500,0.391667,9.21366,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
59.0000,0.393333,9.25287,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
59.2500,0.395000,9.29208,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
59.5000,0.396667,9.33128,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
59.7500,0.398333,9.37049,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
60.0000,0.400000,9.40970,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
60.2500,0.401667,9.44891,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
60.5000,0.403333,9.48811,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
60.7500,0.405000,9.52732,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
61.0000,0.406667,9.56653,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
61.2500,0.408333,9.60573,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
61.5000,0.410000,9.64494,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
61.7500,0.411667,9.68415,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
62.0000,0.413333,9.72335,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
62.2500,0.415000,9.76256,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
62.5000,0.416667,9.80177,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
62.7500,0.418333,9.84098,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
63.0000,0.420000,9.88018,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
63.2500,0.421667,9.91939,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
63.5000,0.423333,9.95860,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
63.7500,0.425000,9.99780,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
64.0000,0.426667,10.03701,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
64.2500,0.428333,10.07622,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
64.5000,0.430000,10.11543,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
64.7500,0.431667,10.15463,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
65.0000,0.433333,10.19384,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
65.2500,0.435000,10.23305,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
65.5000,0.436667,10.27225,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
65.7500,0.438333,10.31146,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
66.0000,0.440000,10.35067,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
66.2500,0.441667,10.38988,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
66.5000,0.443333,10.42908,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
66.7500,0.445000,10.46829,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
67.0000,0.446667,10.50750,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
67.2500,0.448333,10.54670,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
67.5000,0.450000,10.58591,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
67.7500,0.451667,10.62512,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
68.0000,0.453333,10.66432,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
68.2500,0.455000,10.70353,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
68.5000,0.456667,10.74274,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
68.7500,0.458333,10.78195,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
69.0000,0.460000,10.82115,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
69.2500,0.461667,10.86036,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
69.5000,0.463333,10.89957,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
69.7500,0.465000,10.93877,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
70.0000,0.466667,10.97798,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
70.2500,0.468333,11.01719,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
70.5000,0.470000,11.05640,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
70.7500,0.471667,11.09560,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
71.0000,0.473333,11.13481,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
71.2500,0.475000,11.17402,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
71.5000,0.476667,11.21322,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
71.7500,0.478333,11.25243,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
72.0000,0.480000,11.29164,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
72.2500,0.481667,11.33085,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
72.5000,0.483333,11.37005,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
72.7500,0.485000,11.40926,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
73.0000,0.486667,11.44847,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
73.2500,0.488333,11.48767,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
73.5000,0.490000,11.52688,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
73.7500,0.491667,11.56609,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
74.0000,0.493333,11.60529,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
74.2500,0.495000,11.64450,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
74.5000,0.496667,11.68371,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
74.7500,0.498333,11.72292,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
75.0000,0.500000,11.76212,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
75.2500,0.501667,11.80133,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
75.5000,0.503333,11.84054,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
75.7500,0.505000,11.87974,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
76.0000,0.506667,11.91895,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
76.2500,0.508333,11.95816,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
76.5000,0.510000,11.99737,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
76.7500,0.511667,12.03657,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
77.0000,0.513333,12.07578,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
77.2500,0.515000,12.11499,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
77.5000,0.516667,12.15419,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
77.7500,0.518333,12.19340,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
78.0000,0.520000,12.23261,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
78.2500,0.521667,12.27181,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
78.5000,0.523333,12.31102,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
78.7500,0.525000,12.35023,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
79.0000,0.526667,12.38944,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
79.2500,0.528333,12.42864,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
79.5000,0.530000,12.46785,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
79.7500,0.531667,12.50706,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
80.0000,0.533333,12.54626,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
80.2500,0.535000,12.58547,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
80.5000,0.536667,12.62468,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
80.7500,0.538333,12.66389,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
81.0000,0.540000,12.70309,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
81.2500,0.541667,12.74230,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
81.5000,0.543333,12.78151,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
81.7500,0.545000,12.82071,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
82.0000,0.546667,12.85992,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
82.2500,0.548333,12.89913,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
82.5000,0.550000,12.93834,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
82.7500,0.551667,12.97754,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
83.0000,0.553333,13.01675,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
83.2500,0.555000,13.05596,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
83.5000,0.556667,13.09516,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
83.7500,0.558333,13.13437,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
84.0000,0.560000,13.17358,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
84.2500,0.561667,13.21278,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
84.5000,0.563333,13.25199,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
84.7500,0.565000,13.29120,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
85.0000,0.566667,13.33041,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
85.2500,0.568333,13.36961,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
85.5000,0.570000,13.40882,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
85.7500,0.571667,13.44803,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
86.0000,0.573333,13.48723,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
86.2500,0.575000,13.52644,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
86.5000,0.576667,13.56565,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
86.7500,0.578333,13.60486,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
87.0000,0.580000,13.64406,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
87.2500,0.581667,13.68327,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
87.5000,0.583333,13.72248,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
87.7500,0.585000,13.76168,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
88.0000,0.586667,13.80089,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
88.2500,0.588333,13.84010,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
88.5000,0.590000,13.87931,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
88.7500,0.591667,13.91851,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
89.0000,0.593333,13.95772,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
89.2500,0.595000,13.99693,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
89.5000,0.596667,14.03613,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
89.7500,0.598333,14.07534,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
90.0000,0.600000,14.11455,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
90.2500,0.601667,14.15375,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
90.5000,0.603333,14.19296,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
90.7500,0.605000,14.23217,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
91.0000,0.606667,14.27138,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
91.2500,0.608333,14.31058,342.4248,615.5748,0.854131,0.14586910,0.42706545,0.42706545,3.21277752e+00,9.40614750e+00,9.40614750e+00
