z_mm,z_over_L,W_g,T_C,T_K,X_MeOH,y_CH3OH,y_DME,y_H2O,F_CH3OH_mol_h,F_DME_mol_h,F_H2O_mol_h
10.2500,0.068333,1.60749,210.4277,483.5777,0.054599,0.94540147,0.02729927,0.02729927,2.08225359e+01,6.01268321e-01,6.01268321e-01
10.5000,0.070000,1.64670,210.7600,483.9100,0.056360,0.94364036,0.02817982,0.02817982,2.07837473e+01,6.20662613e-01,6.20662613e-01
10.7500,0.071667,1.68590,211.0976,484.2476,0.058150,0.94184986,0.02907507,0.02907507,2.07443115e+01,6.40380499e-01,6.40380499e-01
11.0000,0.073333,1.72511,211.4407,484.5907,0.059971,0.94002905,0.02998548,0.02998548,2.07042079e+01,6.60432293e-01,6.60432293e-01
11.2500,0.075000,1.76432,211.7894,484.9394,0.061823,0.93817693,0.03091153,0.03091153,2.06634149e+01,6.80828794e-01,6.80828794e-01
11.5000,0.076667,1.80353,212.1439,485.2939,0.063708,0.93629249,0.03185376,0.03185376,2.06219099e+01,7.01581315e-01,7.01581315e-01
11.7500,0.078333,1.84273,212.5044,485.6544,0.065625,0.93437463,0.03281268,0.03281268,2.05796691e+01,7.22701719e-01,7.22701719e-01
12.0000,0.080000,1.88194,212.8711,486.0211,0.067578,0.93242225,0.03378888,0.03378888,2.05366676e+01,7.44202455e-01,7.44202455e-01
12.2500,0.081667,1.92115,213.2442,486.3942,0.069566,0.93043414,0.03478293,0.03478293,2.04928793e+01,7.66096591e-01,7.66096591e-01
12.5000,0.083333,1.96035,213.6239,486.7739,0.071591,0.92840906,0.03579547,0.03579547,2.04482768e+01,7.88397864e-01,7.88397864e-01
12.7500,0.085000,1.99956,214.0105,487.1605,0.073654,0.92634569,0.03682715,0.03682715,2.04028311e+01,8.11120718e-01,8.11120718e-01
13.0000,0.086667,2.03877,214.4042,487.5542,0.075757,0.92424267,0.03787867,0.03787867,2.03565118e+01,8.34280354e-01,8.34280354e-01
13.2500,0.088333,2.07798,214.8052,487.9552,0.077901,0.92209853,0.03895074,0.03895074,2.03092869e+01,8.57892786e-01,8.57892786e-01
13.5000,0.090000,2.11718,215.2138,488.3638,0.080088,0.91991174,0.04004413,0.04004413,2.02611227e+01,8.81974895e-01,8.81974895e-01
13.7500,0.091667,2.15639,215.6303,488.7803,0.082319,0.91768068,0.04115966,0.04115966,2.02119835e+01,9.06544494e-01,9.06544494e-01
14.0000,0.093333,2.19560,216.0550,489.2050,0.084596,0.91540365,0.04229818,0.04229818,2.01618317e+01,9.31620394e-01,9.31620394e-01
14.2500,0.095000,2.23480,216.4882,489.6382,0.086921,0.91307883,0.04346058,0.04346058,2.01106276e+01,9.57222482e-01,9.57222482e-01
14.5000,0.096667,2.27401,216.9303,490.0803,0.089296,0.91070433,0.04464783,0.04464783,2.00583289e+01,9.83371800e-01,9.83371800e-01
14.7500,0.098333,2.31322,217.3815,490.5315,0.091722,0.90827811,0.04586094,0.04586094,2.00048912e+01,1.01009064e+00,1.01009064e+00
15.0000,0.100000,2.35242,217.8423,490.9923,0.094202,0.90579803,0.04710099,0.04710099,1.99502673e+01,1.03740263e+00,1.03740263e+00
15.2500,0.101667,2.39163,218.3130,491.4630,0.096738,0.90326181,0.04836910,0.04836910,1.98944068e+01,1.06533285e+00,1.06533285e+00
15.5000,0.103333,2.43084,218.7941,491.9441,0.099333,0.90066703,0.04966649,0.04966649,1.98372566e+01,1.09390797e+00,1.09390797e+00
15.7500,0.105000,2.47005,219.2860,492.4360,0.101989,0.89801111,0.05099444,0.05099444,1.97787599e+01,1.12315633e+00,1.12315633e+00
16.0000,0.106667,2.50925,219.7892,492.9392,0.104709,0.89529132,0.05235434,0.05235434,1.97188562e+01,1.15310815e+00,1.15310815e+00
16.2500,0.108333,2.54846,220.3042,493.4542,0.107495,0.89250472,0.05374764,0.05374764,1.96574812e+01,1.18379564e+00,1.18379564e+00
